course_id,date,discipline,hippodrome,partants,numcourse,distance,prono1,prono2,prono3,prono4,prono5,prono6,prono7,prono8,a1,a2,a3,a4,a5,rapport,r_b1,r_b2,top3,top4,top3_1,top3_2,top4_1,top4_2,a1_imp,a2_imp,a1_inf9,a2_inf9,cplg_top3,cplg_top4,top3_1_top4,top3_2_top4,top3_3_top4,siprono1<9-A1<9,siprono2<9-A1<9,siprono3<9-A1<9,siprono1<9-A2<9,siprono2<9-A2<9,siprono3<9-A2<9,Siprono1>8-A1>8,siprono2>8-A1>8,siprono3>8-A1>8,siprono1>8-A2>8,siprono2>8-A2>8,siprono3>8-A2>8
22/10/22_SaintCloud_C4,22/10/22,galop,SaintCloud,33,C4,1600,5,9,13,4,6,1,3,15,6,13,3,15,11,7.4,1,1,"[5,9,13]","[4,6,1,3]",0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1
23/10/22_Longchamps_C4,23/10/22,galop,Longchamps,16,C4,2200,12,8,5,7,1,10,2,9,1,7,15,12,10,11.5,1,1,"[12,8,5]","[7,1,10,2]",0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
24/10/22_Marseille_C4,24/10/22,galop,Marseille,16,C4,2000,7,3,13,2,5,4,1,15,7,3,9,6,2,3.9,1,1,"[7,3,13]","[2,5,4,1]",1,1,0,0,1,1,1,1,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
25/10/22_Auteuil_C1,25/10/22,galop,Auteuil,16,C1,3600,3,7,9,2,4,5,1,14,7,15,9,6,3,5.5,1,0,"[3,7,9]","[2,4,5,1]",1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
26/10/22_Enghien_C1,26/10/22,trot,Enghien,16,C1,2150,6,1,16,2,9,3,5,11,5,11,14,3,6,13.0,1,1,"[6,1,16]","[2,9,3,5]",0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
27/10/22_Longchamps_C1,27/10/22,galop,Longchamps,15,C1,2800,6,2,10,11,1,4,9,5,10,5,6,14,15,9.5,1,1,"[6,2,10]","[11,1,4,9]",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
28/10/22_Vincennes_C4,28/10/22,trot,Vincennes,16,C4,2850,15,13,8,3,6,9,11,2,13,10,8,5,7,5.2,1,0,"[15,13,8]","[3,6,9,11]",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
29/10/22_Compiegne_C3,29/10/22,galop,Compiegne,16,C3,3600,1,6,4,12,14,10,9,8,12,13,1,2,8,7.3,1,0,"[1,6,4]","[12,14,10,9]",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/10/22_Chantilly_C6,30/10/22,galop,Chantilly,78,C6,1600,5,1,12,3,6,2,8,4,7,9,5,3,1,13.0,0,0,"[5,1,12]","[3,6,2,8]",0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
31/10/22_SaintCloud_C3,31/10/22,galop,SaintCloud,16,C3,2500,1,14,8,2,15,3,7,9,5,2,1,9,12,13.0,0,1,"[1,14,8]","[2,15,3,7]",0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
